
BenchmarkDotNet=v0.12.1, OS=macOS Catalina 10.15.3 (19D76) [Darwin 19.3.0]
Intel Core i5-5350U CPU 1.80GHz (Broadwell), 1 CPU, 4 logical and 2 physical cores
.NET Core SDK=3.1.102
  [Host]     : .NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
  DefaultJob : .NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT


|                    Method |      Mean |    Error |   StdDev |    Median |  Gen 0 | Gen 1 | Gen 2 | Allocated |
|-------------------------- |----------:|---------:|---------:|----------:|-------:|------:|------:|----------:|
|           Interpolation_1 |  23.76 ns | 0.399 ns | 0.354 ns |  23.61 ns | 0.0204 |     - |     - |      32 B |
|           Interpolation_2 |  32.25 ns | 0.400 ns | 0.374 ns |  32.07 ns | 0.0204 |     - |     - |      32 B |
|           Interpolation_3 |  82.77 ns | 0.804 ns | 0.752 ns |  82.61 ns | 0.0612 |     - |     - |      96 B |
|           Interpolation_4 | 111.22 ns | 1.048 ns | 0.875 ns | 110.82 ns | 0.0764 |     - |     - |     120 B |
|           Interpolation_5 | 141.90 ns | 2.120 ns | 1.983 ns | 142.79 ns | 0.0865 |     - |     - |     136 B |
|           Interpolation_6 | 189.58 ns | 3.380 ns | 3.162 ns | 190.99 ns | 0.1018 |     - |     - |     160 B |
|           Interpolation_7 | 219.64 ns | 3.733 ns | 3.309 ns | 218.25 ns | 0.1121 |     - |     - |     176 B |
|           Interpolation_8 | 248.63 ns | 0.512 ns | 0.428 ns | 248.60 ns | 0.1273 |     - |     - |     200 B |
|           Interpolation_9 | 278.53 ns | 2.231 ns | 2.087 ns | 278.50 ns | 0.1373 |     - |     - |     216 B |
|          Interpolation_10 | 304.59 ns | 1.847 ns | 1.727 ns | 304.06 ns | 0.1526 |     - |     - |     240 B |
|            PlusOperator_1 |  23.34 ns | 0.132 ns | 0.117 ns |  23.33 ns | 0.0204 |     - |     - |      32 B |
|            PlusOperator_2 |  31.87 ns | 0.213 ns | 0.199 ns |  31.77 ns | 0.0204 |     - |     - |      32 B |
|            PlusOperator_3 |  81.90 ns | 0.716 ns | 0.634 ns |  81.66 ns | 0.0612 |     - |     - |      96 B |
|            PlusOperator_4 | 111.44 ns | 1.468 ns | 1.301 ns | 111.58 ns | 0.0764 |     - |     - |     120 B |
|            PlusOperator_5 | 143.01 ns | 2.491 ns | 4.554 ns | 140.90 ns | 0.0865 |     - |     - |     136 B |
|            PlusOperator_6 | 189.26 ns | 2.492 ns | 2.331 ns | 189.43 ns | 0.1018 |     - |     - |     160 B |
|            PlusOperator_7 | 219.37 ns | 2.329 ns | 2.179 ns | 219.89 ns | 0.1121 |     - |     - |     176 B |
|            PlusOperator_8 | 248.47 ns | 0.727 ns | 0.607 ns | 248.21 ns | 0.1273 |     - |     - |     200 B |
